C201005060242A     -18.320   -71.250    52.600
C201404260602A     -20.800  -174.290    49.100
C201403182126A     -20.010   -71.020    13.600
C062901E           -19.680   -66.390   287.200
C200908182120A     -25.990  -178.080   277.300
C201101010956A     -27.020   -63.210   586.000
C200912310923A     -59.780  -150.900    16.100
C200805312316A     -28.900  -112.400    12.000
C201410080240A      23.850  -108.620    15.200
C201309250651A     -50.030  -114.250    12.000
C200612020952A     -17.690  -173.850   135.400
C200506211043A     -36.170  -101.120    12.000
C201004052236A     -20.070   -69.320   124.500
C200711180540A     -22.670   -66.480   262.400
C200803242039A     -20.310   -69.420   129.200
C113099A           -19.010   -69.370   138.200
C201608312204A     -37.090   179.050    27.200
C200905160053A     -31.560  -178.120    47.700
C200708041424A      -4.600  -105.680    15.600
C201003042239A     -22.360   -68.690   118.700
C050802B           -17.850  -174.060   137.500
C060204B           -32.780  -178.860    50.000
C200804150303A      13.420   -91.000    32.800
C201001171200A     -57.940   -66.160    18.600
C200607300121A      26.870  -111.360    22.900
C112199A           -21.440   -68.890   109.300
C201001280804A     -23.640   -66.960   204.500
C200609220232A     -26.850   -63.050   602.400
C201009160154A     -16.000  -173.490    93.200
C061802C           -31.040   -71.630    57.000
C200902182153A     -27.270  -175.900    36.500
C200811080750A     -15.070  -173.940   131.900
C201405311153A      18.990  -107.500    17.000
C092402B           -31.480   -69.120   119.900
C052597D           -32.020  -179.950   345.000
C200506070422A     -29.200  -178.900   326.100
C200508060956A     -19.600  -175.350   217.700
C112498F           -16.420  -174.460   235.800
C060798C            15.960   -93.990    75.500
C200511171926A     -22.460   -68.130   155.300
C122999A            18.000  -101.630    50.000
C200909172321A     -29.240  -112.440    12.700
C200810221255A     -18.400  -174.980   244.000
C201305200949A     -44.950   -80.990    19.100
C200905031621A      14.560   -91.500    90.500
C062003D            -7.370   -71.890   556.200
C070501K           -16.070   -73.600    69.100
C091100D           -15.740  -173.330   124.600
C101495B           -25.530  -177.170   172.100
C071998B           -21.920  -175.290    65.000
C201301151609A     -62.600  -161.940    12.000
C200510172159A      11.650   -86.070   162.200
C200908011333A     -55.700  -124.580    20.100
C111496H           -21.290  -176.100   202.200
C200807080913A     -16.260   -72.000   125.700
C201204120706A      28.900  -113.090    15.900
C201403100038A      16.020   -98.420    12.000
C201309251642A     -16.030   -74.810    46.100
C111204H           -26.850   -63.180   583.100
C201211130431A     -45.800   -77.540    17.900
C120304C           -34.360   179.710   155.500
C123196C            15.830   -93.180    81.600
C122004B           -15.800  -174.220   256.100
B111304B           -26.830   -63.200   582.000
C200611302120A     -54.010  -133.950    12.000
C200610100802A     -56.180  -122.410    12.000
C072703D           -20.050   -65.190   350.600
C201512241944A     -56.060  -123.110    12.100
C121498D           -38.280   -71.250   145.900
C200910141800A     -14.900  -174.610    12.700
C200603050807A     -20.090  -175.220   213.900
B032197A           -31.180   179.900   452.800
C052297B            18.760  -101.730    55.500
C090297B             4.000   -75.570   213.200
C081995C             5.220   -75.690   128.700
C112104A           -15.220  -174.590   270.000
C072097C           -22.820   -66.120   271.300
C091599A           -20.730   -67.370   217.500
C111598B           -21.550  -175.870   171.000
C042699C            -1.500   -77.830   164.200
C081994B           -26.720   -63.420   562.600
C120196B           -30.460  -179.400   369.600
C121897C            13.940   -89.190   177.600
C110596B           -30.950  -179.730   366.700
C122794C           -31.840   179.820   225.800
C110997C            13.880   -89.300   178.100
C100898A           -16.020   -71.590   140.600
C050295B            -3.770   -77.070   112.800
C011094C           -13.280   -69.270   603.600
C072895B           -21.180  -174.900   125.300
C080596B           -15.270  -172.760    53.800
B110494A            -9.400   -71.070   619.200
