C201407041500A -6.39  152.89  AK.CNP      AK.CNP..BHR       59.53  -151.24     79.25   2111.80  2501.60     0.00     0.00      0.97      0.97      0.97     9.49    10.00     10.00      0.25      0.25      0.25      0.30      0.30
C201407041500A -6.39  152.89  AK.COLD     AK.COLD..BHR      67.23  -150.20     83.86   2266.20  2698.20    -1.80    -1.80      0.96      0.96      0.94    10.35    11.27     11.50      0.09      0.09      0.09      0.29      0.34
C201407041500A -6.39  152.89  AK.COLD     AK.COLD..BHZ      67.23  -150.20     83.86   2266.00  2665.40    -0.80    -0.80      0.96      0.96      0.95     9.54    10.45     10.50      0.10      0.10      0.10      0.30      0.31
C201407041500A -6.39  152.89  AK.CRQ      AK.CRQ..BHZ       60.75  -143.09     83.41   2231.60  2679.40    -1.60    -1.60      0.94      0.94      0.93    10.52    11.91     12.09      0.26      0.26      0.26      0.38      0.41
C201407041500A -6.39  152.89  AK.CTG      AK.CTG..BHR       60.96  -141.34     84.27   2255.80  2730.20    -2.00    -2.00      0.94      0.94      0.91    11.09    12.68     13.02      0.34      0.34      0.34      0.42      0.46
C201407041500A -6.39  152.89  AK.CTG      AK.CTG..BHZ       60.96  -141.34     84.27   2254.80  2739.20    -1.80    -1.80      0.93      0.93      0.92    11.31    12.97     13.23      0.34      0.34      0.34      0.42      0.45
C201407041500A -6.39  152.89  AK.CUT      AK.CUT..BHZ       62.41  -150.26     81.22   2180.00  2555.60     0.00     0.00      0.97      0.97      0.97     9.07     9.73      9.73      0.43      0.43      0.43      0.41      0.41
C201407041500A -6.39  152.89  AK.CYK      AK.CYK..BHR       60.08  -142.49     83.39   2230.40  2675.00    -1.80    -1.80      0.91      0.91      0.89    10.08    12.26     12.54      0.41      0.41      0.41      0.49      0.52
C201407041500A -6.39  152.89  AK.CYK      AK.CYK..BHZ       60.08  -142.49     83.39   2229.80  2720.00    -1.80    -1.80      0.92      0.92      0.90    11.26    13.34     13.63      0.23      0.23      0.23      0.41      0.45
C201407041500A -6.39  152.89  AK.DOT      AK.DOT..BHR       63.65  -144.07     84.29   2269.20  2742.20    -0.40    -0.40      0.95      0.95      0.95    11.22    12.47     12.48      0.47      0.47      0.47      0.45      0.45
C201407041500A -6.39  152.89  AK.DOT      AK.DOT..BHZ       63.65  -144.07     84.29   2270.80  2664.00    -0.20    -0.20      0.94      0.94      0.94     9.29    10.40     10.41      0.37      0.37      0.37      0.42      0.42
C201407041500A -6.39  152.89  AK.EYAK     AK.EYAK..BHR      60.55  -145.75     82.15   2197.80  2550.80    -1.00    -1.00      0.97      0.97      0.96     8.53     9.13      9.18      0.30      0.30      0.30      0.34      0.35
C201407041500A -6.39  152.89  AK.EYAK     AK.EYAK..BHZ      60.55  -145.75     82.15   2199.40  2685.20    -0.60    -0.60      0.96      0.96      0.96    11.65    12.66     12.69      0.15      0.15      0.15      0.30      0.31
C201407041500A -6.39  152.89  AK.FIRE     AK.FIRE..BHR      61.14  -150.22     80.56   2158.20  2602.40    -0.40    -0.40      0.91      0.91      0.91    10.14    12.16     12.16      0.64      0.64      0.64      0.56      0.56
C201407041500A -6.39  152.89  AK.FIRE     AK.FIRE..BHZ      61.14  -150.22     80.56   2156.00  2507.20    -0.80    -0.80      0.93      0.93      0.93     8.15     9.45      9.48      0.37      0.37      0.37      0.44      0.44
C201407041500A -6.39  152.89  AK.FYU      AK.FYU..BHZ       66.57  -145.23     85.21   2304.60  2776.20     0.40     0.40      0.98      0.98      0.98    11.58    12.00     12.02      0.28      0.28      0.28      0.29      0.30
C201407041500A -6.39  152.89  AK.GAMB     AK.GAMB..BHR      63.78  -171.70     75.02   2000.00  2384.80    -2.60    -2.60      0.85      0.85      0.81     8.21    11.27     11.81      0.34      0.34      0.34      0.54      0.59
C201407041500A -6.39  152.89  AK.GAMB     AK.GAMB..BHZ      63.78  -171.70     75.02   1995.80  2394.20    -2.80    -2.80      0.94      0.94      0.90     9.39    10.56     11.10      0.26      0.26      0.26      0.37      0.46
C201407041500A -6.39  152.89  AK.GHO      AK.GHO..BHZ       61.77  -148.93     81.42   2182.60  2563.80    -0.20    -0.20      0.92      0.92      0.92     8.80    10.33     10.33      0.39      0.39      0.39      0.46      0.46
C201407041500A -6.39  152.89  AK.GLB      AK.GLB..BHR       61.44  -143.81     83.40   2240.80  2726.40    -0.60    -0.60      0.91      0.91      0.91    11.07    13.32     13.35      0.32      0.32      0.32      0.45      0.45
C201407041500A -6.39  152.89  AK.GLB      AK.GLB..BHZ       61.44  -143.81     83.40   2233.40  2725.40    -0.20    -0.20      0.96      0.96      0.96    11.75    12.87     12.88      0.28      0.28      0.28      0.35      0.36
C201407041500A -6.39  152.89  AK.GLI      AK.GLI..BHR       60.88  -147.10     81.73   2185.80  2549.80    -1.80    -1.80      0.97      0.97      0.95     8.83     9.38      9.56      0.25      0.25      0.25      0.31      0.35
C201407041500A -6.39  152.89  AK.GLI      AK.GLI..BHZ       60.88  -147.10     81.73   2188.60  2545.80     0.00     0.00      0.97      0.97      0.97     8.69     9.18      9.18      0.13      0.13      0.13      0.25      0.25
C201407041500A -6.39  152.89  AK.GRIN     AK.GRIN..BHR      60.28  -143.32     83.10   2223.60  2666.60    -1.20    -1.20      0.91      0.91      0.90    10.06    12.19     12.32      0.45      0.45      0.45      0.50      0.51
C201407041500A -6.39  152.89  AK.GRIN     AK.GRIN..BHZ      60.28  -143.32     83.10   2223.20  2704.40    -2.00    -2.00      0.93      0.93      0.91    11.19    12.93     13.25      0.24      0.24      0.24      0.39      0.44
C201407041500A -6.39  152.89  AK.HDA      AK.HDA..BHR       64.41  -146.95     83.53   2249.20  2650.60     0.80     0.80      0.99      0.99      0.98     9.89    10.18     10.22      0.42      0.42      0.42      0.37      0.38
C201407041500A -6.39  152.89  AK.HDA      AK.HDA..BHZ       64.41  -146.95     83.53   2251.20  2681.00    -0.20    -0.20      0.98      0.98      0.97    10.48    11.02     11.02      0.38      0.38      0.38      0.36      0.36
C201407041500A -6.39  152.89  AK.HIN      AK.HIN..BHZ       60.40  -146.50     81.74   2186.80  2551.20    -0.60    -0.60      0.97      0.97      0.97     8.83     9.40      9.41      0.15      0.15      0.15      0.27      0.27
C201407041500A -6.39  152.89  AK.HOM      AK.HOM..BHR       59.66  -151.65     79.15   2109.60  2540.40     0.00     0.00      0.97      0.97      0.97    10.41    11.15     11.15      0.30      0.30      0.30      0.34      0.34
C201407041500A -6.39  152.89  AK.HOM      AK.HOM..BHZ       59.66  -151.65     79.15   2111.40  2533.00    -0.80    -0.80      0.95      0.95      0.95    10.01    11.10     11.15      0.24      0.24      0.24      0.35      0.36
C201407041500A -6.39  152.89  AK.JIS      AK.JIS..BHR       58.28  -134.38     86.60   2313.20  2760.80     1.00     1.00      0.89      0.89      0.88     9.92    12.62     12.68      0.47      0.47      0.47      0.53      0.54
C201407041500A -6.39  152.89  AK.JIS      AK.JIS..BHZ       58.28  -134.38     86.60   2309.40  2753.00     1.20     1.20      0.91      0.91      0.90    10.04    12.25     12.36      0.45      0.45      0.45      0.50      0.51
C201407041500A -6.39  152.89  AK.KHIT     AK.KHIT..BHR      60.44  -143.25     83.20   2227.60  2665.00    -1.60    -1.60      0.92      0.92      0.90    10.04    11.91     12.09      0.40      0.40      0.40      0.47      0.49
C201407041500A -6.39  152.89  AK.KHIT     AK.KHIT..BHZ      60.44  -143.25     83.20   2226.00  2715.20    -1.80    -1.80      0.93      0.93      0.91    11.40    13.12     13.39      0.27      0.27      0.27      0.40      0.43
C201407041500A -6.39  152.89  AK.KIAG     AK.KIAG..BHZ      60.92  -142.36     83.80   2242.20  2679.00    -1.40    -1.40      0.95      0.95      0.93    10.33    11.54     11.70      0.30      0.30      0.30      0.38      0.41
C201407041500A -6.39  152.89  AK.KNK      AK.KNK..BHR       61.41  -148.46     81.42   2179.80  2572.00    -1.40    -1.40      0.93      0.93      0.92     9.12    10.54     10.68      0.35      0.35      0.35      0.43      0.45
C201407041500A -6.39  152.89  AK.KNK      AK.KNK..BHZ       61.41  -148.46     81.42   2181.80  2565.20    -0.40    -0.40      0.93      0.93      0.93     8.92    10.29     10.30      0.32      0.32      0.32      0.42      0.42
C201407041500A -6.39  152.89  AK.KOTZ     AK.KOTZ..BHZ      66.90  -162.60     79.88   2140.60  2512.60    -3.60    -3.60      0.86      0.86      0.80     8.02    10.78     11.69      0.35      0.35      0.35      0.53      0.61
C201407041500A -6.39  152.89  AK.LOGN     AK.LOGN..BHZ      60.82  -141.00     84.37   2257.00  2750.00    -1.80    -1.80      0.94      0.94      0.92    11.54    13.16     13.43      0.32      0.32      0.32      0.41      0.44
C201407041500A -6.39  152.89  AK.MCAR     AK.MCAR..BHZ      61.38  -143.02     83.71   2241.40  2675.00    -0.80    -0.80      0.95      0.95      0.95    10.29    11.42     11.45      0.29      0.29      0.29      0.37      0.38
C201407041500A -6.39  152.89  AK.MCK      AK.MCK..BHZ       63.73  -148.94     82.44   2217.40  2603.40    -0.20    -0.20      0.96      0.96      0.96     9.29    10.02     10.03      0.42      0.42      0.42      0.41      0.41
C201407041500A -6.39  152.89  AK.MESA     AK.MESA..BHZ      60.18  -141.95     83.67   2237.80  2728.60    -2.20    -2.20      0.92      0.92      0.90    11.30    13.32     13.70      0.24      0.24      0.24      0.41      0.46
C201407041500A -6.39  152.89  AK.NEA2     AK.NEA2..BHR      64.59  -149.07     82.84   2228.20  2626.20     1.20     1.20      0.99      0.99      0.98     9.84    10.06     10.16      0.41      0.41      0.41      0.35      0.37
C201407041500A -6.39  152.89  AK.NEA2     AK.NEA2..BHZ      64.59  -149.07     82.84   2231.00  2589.40     0.60     0.60      0.98      0.98      0.98     8.82     9.10      9.13      0.38      0.38      0.38      0.35      0.35
C201407041500A -6.39  152.89  AK.NIKH     AK.NIKH..BHZ      52.97  -168.85     67.56   1771.80  2161.40    -0.60    -0.60      0.96      0.96      0.95     9.31    10.19     10.23      0.42      0.42      0.42      0.42      0.42
C201407041500A -6.39  152.89  AK.PAX      AK.PAX..BHZ       62.97  -145.47     83.41   2239.40  2728.80     0.00     0.00      0.95      0.95      0.95    11.58    12.93     12.93      0.38      0.38      0.38      0.42      0.42
C201407041500A -6.39  152.89  AK.PIN      AK.PIN..BHR       60.10  -140.25     84.42   2255.60  2737.00    -0.80    -0.80      0.92      0.92      0.91    11.04    13.12     13.17      0.50      0.50      0.50      0.51      0.51
C201407041500A -6.39  152.89  AK.PIN      AK.PIN..BHZ       60.10  -140.25     84.42   2257.60  2660.00    -1.60    -1.60      0.91      0.91      0.90     9.19    11.01     11.16      0.28      0.28      0.28      0.44      0.46
C201407041500A -6.39  152.89  AK.PNL      AK.PNL..BHR       59.67  -139.40     84.64   2260.60  2735.60    -0.60    -0.60      0.89      0.89      0.89    10.53    13.39     13.42      0.44      0.44      0.44      0.52      0.52
C201407041500A -6.39  152.89  AK.PNL      AK.PNL..BHZ       59.67  -139.40     84.64   2262.80  2755.40    -1.60    -1.60      0.90      0.90      0.89    11.06    13.72     13.91      0.29      0.29      0.29      0.47      0.49
C201407041500A -6.39  152.89  AK.PPD      AK.PPD..BHR       65.52  -145.52     84.61   2284.60  2713.00     1.00     1.00      0.87      0.87      0.86     9.28    12.35     12.43      0.65      0.65      0.65      0.61      0.61
C201407041500A -6.39  152.89  AK.PPD      AK.PPD..BHZ       65.52  -145.52     84.61   2283.40  2675.40     0.00     0.00      0.98      0.98      0.98     9.61     9.99      9.99      0.37      0.37      0.37      0.35      0.35
C201407041500A -6.39  152.89  AK.PPLA     AK.PPLA..BHR      62.90  -152.19     80.75   2166.80  2560.00     0.20     0.20      0.97      0.97      0.97     9.56    10.11     10.11      0.36      0.36      0.36      0.36      0.36
C201407041500A -6.39  152.89  AK.PPLA     AK.PPLA..BHZ      62.90  -152.19     80.75   2167.80  2508.80     0.80     0.80      0.98      0.98      0.97     8.33     8.72      8.76      0.45      0.45      0.45      0.40      0.41
C201407041500A -6.39  152.89  AK.PTPK     AK.PTPK..BHZ      61.19  -142.47     83.87   2244.80  2675.60    -1.20    -1.20      0.95      0.95      0.94    10.18    11.39     11.49      0.31      0.31      0.31      0.39      0.40
C201407041500A -6.39  152.89  AK.PWL      AK.PWL..BHZ       60.86  -148.33     81.19   2171.00  2557.60    -0.40    -0.40      0.96      0.96      0.96     9.32    10.02     10.03      0.16      0.16      0.16      0.29      0.29
C201407041500A -6.39  152.89  AK.RAG      AK.RAG..BHZ       60.39  -144.68     82.54   2209.60  2696.00    -1.40    -1.40      0.94      0.94      0.93    11.47    12.89     13.03      0.20      0.20      0.20      0.35      0.38
C201407041500A -6.39  152.89  AK.RDOG     AK.RDOG..BHR      68.05  -162.91     80.62   2160.20  2616.00    -1.80    -1.80      0.89      0.89      0.87    10.11    12.84     13.12      0.23      0.23      0.23      0.47      0.50
C201407041500A -6.39  152.89  AK.RDOG     AK.RDOG..BHZ      68.05  -162.91     80.62   2159.20  2571.80    -3.20    -3.20      0.90      0.90      0.85     9.30    11.43     12.12      0.27      0.27      0.27      0.45      0.53
C201407041500A -6.39  152.89  AK.RIDG     AK.RIDG..BHR      63.74  -144.84     84.02   2262.80  2698.40    -0.40    -0.40      0.95      0.95      0.95    10.32    11.49     11.51      0.53      0.53      0.53      0.48      0.48
C201407041500A -6.39  152.89  AK.RIDG     AK.RIDG..BHZ      63.74  -144.84     84.02   2262.80  2658.60    -0.40    -0.40      0.94      0.94      0.94     9.33    10.50     10.51      0.43      0.43      0.43      0.44      0.45
C201407041500A -6.39  152.89  AK.RKAV     AK.RKAV..BHZ      60.30  -141.35     84.00   2246.40  2659.20    -2.00    -2.00      0.92      0.92      0.90     9.50    11.21     11.49      0.25      0.25      0.25      0.41      0.45
C201407041500A -6.39  152.89  AK.RND      AK.RND..BHR       63.41  -148.86     82.29   2214.00  2551.20    -0.40    -0.40      0.97      0.97      0.97     8.15     8.72      8.72      0.53      0.53      0.53      0.46      0.46
C201407041500A -6.39  152.89  AK.RND      AK.RND..BHZ       63.41  -148.86     82.29   2212.80  2602.20    -0.20    -0.20      0.96      0.96      0.96     9.39    10.10     10.10      0.43      0.43      0.43      0.41      0.41
C201407041500A -6.39  152.89  AK.SCM      AK.SCM..BHR       61.83  -147.33     82.10   2200.40  2597.20    -0.40    -0.40      0.94      0.94      0.94     9.34    10.53     10.55      0.36      0.36      0.36      0.42      0.42
C201407041500A -6.39  152.89  AK.SCM      AK.SCM..BHZ       61.83  -147.33     82.10   2201.60  2543.00     0.00     0.00      0.93      0.93      0.93     7.96     9.16      9.16      0.32      0.32      0.32      0.42      0.42
C201407041500A -6.39  152.89  AK.SGA      AK.SGA..BHZ       60.53  -145.21     82.38   2205.80  2691.80    -0.80    -0.80      0.95      0.95      0.95    11.56    12.77     12.82      0.22      0.22      0.22      0.34      0.35
C201407041500A -6.39  152.89  AK.SII      AK.SII..BHR       56.56  -154.18     76.29   2018.00  2508.60    -0.40    -0.40      0.92      0.92      0.92    11.24    13.38     13.40      0.64      0.64      0.64      0.56      0.56
C201407041500A -6.39  152.89  AK.SKN      AK.SKN..BHR       61.98  -151.53     80.49   2156.00  2522.20     0.60     0.60      0.91      0.91      0.91     8.36    10.02     10.04      0.48      0.48      0.48      0.50      0.51
C201407041500A -6.39  152.89  AK.SKN      AK.SKN..BHZ       61.98  -151.53     80.49   2157.40  2512.00     0.00     0.00      0.96      0.96      0.96     8.51     9.24      9.24      0.47      0.47      0.47      0.44      0.44
