event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
C050397C       -31.7000  180.9400  XB.MILO     -51.5680  287.3800   -0.1082
C050397C       -31.7000  180.9400  XB.MILO     -51.5680  287.3800   -0.5473
C050397C       -31.7000  180.9400  XB.SALM     -52.5490  287.9700   -0.0217
C050397C       -31.7000  180.9400  XB.SALM     -52.5490  287.9700   -0.5067
C050397C       -31.7000  180.9400  XB.VTDF     -54.1390  291.2940   -0.5631
C050397C       -31.7000  180.9400  XH.CHAS     -21.9600  292.1500   -0.0407
C050397C       -31.7000  180.9400  XH.CHAS     -21.9600  292.1500    0.1461
C050397C       -31.7000  180.9400  XH.CHAS     -21.9600  292.1500   -0.1484
C050397C       -31.7000  180.9400  XH.LCOL     -22.2800  292.3500   -0.1481
C050397C       -31.7000  180.9400  XH.OLLA     -21.3200  291.9600   -0.1018
C050397C       -31.7000  180.9400  XH.UYUN     -20.4600  293.2500   -0.1248
C050802B       -17.8500  185.9400  G.KIP        21.4200  201.9890    0.2554
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    0.1761
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    0.9146
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    0.1376
C050802B       -17.8500  185.9400  G.UNM        19.3300  260.8220   -0.1935
C050802B       -17.8500  185.9400  II.EFI      -51.6750  301.9360   -0.2784
C050802B       -17.8500  185.9400  II.NNA      -11.9880  283.1580   -0.0890
C050802B       -17.8500  185.9400  IU.KIP       21.4200  201.9890    0.1375
C050802B       -17.8500  185.9400  IU.LVC      -22.6130  291.0890   -0.1296
C050802B       -17.8500  185.9400  IU.LVC      -22.6130  291.0890   -0.1388
C050802B       -17.8500  185.9400  IU.OTAV       0.2380  281.5490   -0.2258
C050802B       -17.8500  185.9400  IU.PAYG      -0.6740  269.7140    0.0077
C050802B       -17.8500  185.9400  IU.PAYG      -0.6740  269.7140    0.2982
C050802B       -17.8500  185.9400  IU.PAYG      -0.6740  269.7140   -0.0076
C050802B       -17.8500  185.9400  IU.POHA      19.7570  204.4670    0.1644
C050802B       -17.8500  185.9400  IU.POHA      19.7570  204.4670   -0.0208
C050802B       -17.8500  185.9400  IU.TRQA     -38.0570  298.0210   -0.0260
C050802B       -17.8500  185.9400  NR.NE71      31.6900  244.0950    0.0692
C050802B       -17.8500  185.9400  NR.NE71      31.6900  244.0950    0.0502
C050802B       -17.8500  185.9400  NR.NE72      30.8480  243.9410    0.0335
C050802B       -17.8500  185.9400  NR.NE73      30.0650  244.6520    0.0335
C050802B       -17.8500  185.9400  NR.NE74      28.0080  245.9860    0.0755
C050802B       -17.8500  185.9400  NR.NE75      27.2930  247.1440    0.0504
C050802B       -17.8500  185.9400  NR.NE76      26.8890  248.0010    0.0671
C050802B       -17.8500  185.9400  NR.NE78      24.3980  248.8940    0.0419
C050802B       -17.8500  185.9400  NR.NE79      23.1190  250.2440   -0.0167
C050802B       -17.8500  185.9400  YC.BARD     -35.7640  290.4380    0.0000
C050802B       -17.8500  185.9400  YC.HEDI     -30.1390  291.4570    0.0000
C050802B       -17.8500  185.9400  YC.LENA     -35.1980  289.9600    0.0069
C050802B       -17.8500  185.9400  ZI.ANA      -17.3560  214.4910    0.3110
C050802B       -17.8500  185.9400  ZI.HAO      -18.0620  219.0380    0.2637
