event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    1.3889
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    0.2525
C050802B       -17.8500  185.9400  G.UNM        19.3300  260.8220   -0.2677
C050802B       -17.8500  185.9400  G.UNM        19.3300  260.8220   -0.3079
C050802B       -17.8500  185.9400  GE.BOA       12.4490  274.3340   -0.2788
C050802B       -17.8500  185.9400  II.EFI      -51.6750  301.9360   -0.3527
C050802B       -17.8500  185.9400  II.EFI      -51.6750  301.9360   -0.3476
C050802B       -17.8500  185.9400  II.NNA      -11.9880  283.1580   -0.1787
C050802B       -17.8500  185.9400  IU.KIP       21.4200  201.9890    0.0798
C050802B       -17.8500  185.9400  IU.KIP       21.4200  201.9890    0.0610
C050802B       -17.8500  185.9400  IU.LVC      -22.6130  291.0890   -0.1660
C050802B       -17.8500  185.9400  IU.LVC      -22.6130  291.0890   -0.2208
C050802B       -17.8500  185.9400  IU.OTAV       0.2380  281.5490   -0.4417
C050802B       -17.8500  185.9400  IU.PAYG      -0.6740  269.7140   -0.0318
C050802B       -17.8500  185.9400  IU.PAYG      -0.6740  269.7140   -0.1011
C050802B       -17.8500  185.9400  IU.POHA      19.7570  204.4670    0.1757
C050802B       -17.8500  185.9400  IU.POHA      19.7570  204.4670    0.1834
C050802B       -17.8500  185.9400  IU.PTCN     -25.0710  229.9050   -0.0608
C050802B       -17.8500  185.9400  IU.RAR      -21.2120  200.2270    1.0730
C050802B       -17.8500  185.9400  IU.RAR      -21.2120  200.2270    1.2720
C050802B       -17.8500  185.9400  IU.RAR      -21.2120  200.2270    1.0609
C050802B       -17.8500  185.9400  IU.TRQA     -38.0570  298.0210   -0.0573
C050802B       -17.8500  185.9400  IU.TRQA     -38.0570  298.0210   -0.0389
C050802B       -17.8500  185.9400  IU.TRQA     -38.0570  298.0210   -0.0214
C050802B       -17.8500  185.9400  NR.NE71      31.6900  244.0950    0.1066
C050802B       -17.8500  185.9400  NR.NE71      31.6900  244.0950   -0.0840
C050802B       -17.8500  185.9400  NR.NE71      31.6900  244.0950    0.1263
C050802B       -17.8500  185.9400  NR.NE72      30.8480  243.9410    0.1031
C050802B       -17.8500  185.9400  NR.NE73      30.0650  244.6520    0.0563
C050802B       -17.8500  185.9400  NR.NE74      28.0080  245.9860    0.0374
C050802B       -17.8500  185.9400  NR.NE75      27.2930  247.1440    0.0619
C050802B       -17.8500  185.9400  NR.NE76      26.8890  248.0010    0.0264
C050802B       -17.8500  185.9400  NR.NE76      26.8890  248.0010    0.0442
C050802B       -17.8500  185.9400  NR.NE77      26.0160  248.6390    0.0354
C050802B       -17.8500  185.9400  NR.NE78      24.3980  248.8940    0.0000
C050802B       -17.8500  185.9400  NR.NE79      23.1190  250.2440   -0.1242
C050802B       -17.8500  185.9400  NR.NE79      23.1190  250.2440   -0.0633
C050802B       -17.8500  185.9400  YC.AMER     -35.7000  288.8950   -0.1757
C050802B       -17.8500  185.9400  YC.BARD     -35.7640  290.4380   -0.1118
C050802B       -17.8500  185.9400  YC.BARD     -35.7640  290.4380   -0.1130
C050802B       -17.8500  185.9400  YC.CONS     -35.4590  287.7020   -0.1139
C050802B       -17.8500  185.9400  YC.LENA     -35.1980  289.9600   -0.1657
C050802B       -17.8500  185.9400  YC.PENA     -36.2030  291.6020   -0.0744
C050802B       -17.8500  185.9400  YC.PICH     -30.9070  294.8130   -0.0282
C050802B       -17.8500  185.9400  YC.USPA     -32.2240  290.6120   -0.0806
C050802B       -17.8500  185.9400  ZI.ANA      -17.3560  214.4910    0.2899
C050802B       -17.8500  185.9400  ZI.ANA      -17.3560  214.4910    0.2972
C050802B       -17.8500  185.9400  ZI.HAO      -18.0620  219.0380    0.2583
C050802B       -17.8500  185.9400  ZI.MAT      -14.8700  211.2880    0.2059
C050802B       -17.8500  185.9400  ZI.MAT      -14.8700  211.2880    0.1884
C050802B       -17.8500  185.9400  ZI.REA      -18.4640  223.5560    0.5524
C050802B       -17.8500  185.9400  ZI.REA      -18.4640  223.5560    0.3969
C050802B       -17.8500  185.9400  ZI.RUR      -22.4330  208.6310    0.4817
C050802B       -17.8500  185.9400  ZI.RUR      -22.4330  208.6310    0.4227
C050802B       -17.8500  185.9400  ZI.TAK      -14.4740  214.9630    0.2141
C050802B       -17.8500  185.9400  ZI.TAK      -14.4740  214.9630    1.6347
C050802B       -17.8500  185.9400  ZI.TAK      -14.4740  214.9630    0.1471
C051094C       -28.6200  296.9800  GT.LPAZ     -16.2880  291.8690    1.3863
C051094C       -28.6200  296.9800  II.NNA      -11.9880  283.1580   -0.8657
C051094C       -28.6200  296.9800  IU.AFI      -13.9090  188.2230    0.0173
C051094C       -28.6200  296.9800  IU.AFI      -13.9090  188.2230   -0.0163
C051094C       -28.6200  296.9800  IU.RAR      -21.2120  200.2270    0.0482
C051094C       -28.6200  296.9800  IU.RAR      -21.2120  200.2270    0.0615
C051094C       -28.6200  296.9800  XB.EUAT     -21.3480  185.0460    0.0058
C051094C       -28.6200  296.9800  XB.NUKU     -21.1840  184.7900   -0.0169
C051094C       -28.6200  296.9800  XB.NUKU     -21.1840  184.7900    0.0238
C051200C       -23.7200  293.1500  G.HDC        10.0020  275.8890    0.0509
C051200C       -23.7200  293.1500  G.KIP        21.4200  201.9890   -0.1547
C051200C       -23.7200  293.1500  G.KIP        21.4200  201.9890   -0.2310
C051200C       -23.7200  293.1500  G.UNM        19.3300  260.8220    0.0000
C051200C       -23.7200  293.1500  G.UNM        19.3300  260.8220    0.3974
C051200C       -23.7200  293.1500  G.UNM        19.3300  260.8220   -0.1033
C051200C       -23.7200  293.1500  G.UNM        19.3300  260.8220   -0.0294
C051200C       -23.7200  293.1500  G.UNM        19.3300  260.8220   -0.0483
C051200C       -23.7200  293.1500  GE.MAUI      20.7670  203.7550   -0.2488
C051200C       -23.7200  293.1500  GE.MAUI      20.7670  203.7550   -0.1953
C051200C       -23.7200  293.1500  GT.PLCA     -40.7330  289.4490    0.7715
C051200C       -23.7200  293.1500  GT.PLCA     -40.7330  289.4490    0.3712
C051200C       -23.7200  293.1500  H2.H2O       27.8820  218.0080   -0.2025
C051200C       -23.7200  293.1500  II.EFI      -51.6750  301.9360    0.5743
C051200C       -23.7200  293.1500  II.EFI      -51.6750  301.9360    0.1581
C051200C       -23.7200  293.1500  II.EFI      -51.6750  301.9360    0.4366
C051200C       -23.7200  293.1500  II.NNA      -11.9880  283.1580   -0.1914
C051200C       -23.7200  293.1500  II.RPN      -27.1270  250.6660    0.0000
C051200C       -23.7200  293.1500  IU.HKT       29.9620  264.1620    0.1626
C051200C       -23.7200  293.1500  IU.HKT       29.9620  264.1620    0.2027
C051200C       -23.7200  293.1500  IU.HKT       29.9620  264.1620    0.1146
C051200C       -23.7200  293.1500  IU.KIP       21.4200  201.9890   -0.1614
C051200C       -23.7200  293.1500  IU.KIP       21.4200  201.9890   -0.2106
C051200C       -23.7200  293.1500  IU.PAYG      -0.6740  269.7140   -0.1312
C051200C       -23.7200  293.1500  IU.PAYG      -0.6740  269.7140   -0.2296
C051200C       -23.7200  293.1500  IU.PAYG      -0.6740  269.7140   -0.1007
C051200C       -23.7200  293.1500  IU.POHA      19.7570  204.4670   -0.2509
C051200C       -23.7200  293.1500  IU.POHA      19.7570  204.4670   -0.2234
C051200C       -23.7200  293.1500  IU.PTCN     -25.0710  229.9050    0.0000
C051200C       -23.7200  293.1500  IU.PTCN     -25.0710  229.9050   -0.3264
C051200C       -23.7200  293.1500  IU.PTCN     -25.0710  229.9050    0.1246
C051200C       -23.7200  293.1500  IU.PTCN     -25.0710  229.9050   -0.3107
C051200C       -23.7200  293.1500  IU.TEIG      20.2260  271.7240    0.1230
C051200C       -23.7200  293.1500  IU.XMAS       2.0450  202.5540   -0.5074
C051200C       -23.7200  293.1500  IU.XMAS       2.0450  202.5540   -0.5247
C051200C       -23.7200  293.1500  US.JCT       30.4790  260.1980    0.0865
C051200C       -23.7200  293.1500  US.LTX       29.3340  256.3330    0.1203
C051200C       -23.7200  293.1500  US.LTX       29.3340  256.3330    0.0307
C051200C       -23.7200  293.1500  US.LTX       29.3340  256.3330    0.0201
C051200C       -23.7200  293.1500  YH.G02B      -1.3710  270.2570   -0.1433
